Site,SiteType,Year,Parameter,Max,Min,Avg,Count,Provenance
Bear Lake (Manistee),Lake,2000,Chlorophyll-a,7.613469575626834,6.4450922832102115,6.964926148764145,18,simulated
Bear Lake (Manistee),Lake,2001,Chlorophyll-a,7.8819003139725865,6.346988242870287,7.397397299995757,19,simulated
Bear Lake (Manistee),Lake,2002,Chlorophyll-a,7.827866539283862,6.34251220156153,7.079558307668875,23,simulated
Bear Lake (Manistee),Lake,2003,Chlorophyll-a,8.013721074287153,6.874888544263417,7.295983839699725,23,simulated
Bear Lake (Manistee),Lake,2004,Chlorophyll-a,8.157572676980182,6.683094182674596,7.580576461882058,22,simulated
Bear Lake (Manistee),Lake,2005,Chlorophyll-a,8.16630006810753,6.3260385586368,7.459343948151488,22,simulated
Bear Lake (Manistee),Lake,2006,Chlorophyll-a,7.918744051230768,6.428197014444217,7.317941312619121,26,simulated
Bear Lake (Manistee),Lake,2007,Chlorophyll-a,8.126958115623301,7.040567060909204,7.415161859106235,21,simulated
Bear Lake (Manistee),Lake,2008,Chlorophyll-a,8.533502306448653,7.069755758917827,7.679050909330549,25,simulated
Bear Lake (Manistee),Lake,2009,Chlorophyll-a,8.519108277973448,6.5327172174602195,7.492619909696438,23,simulated
Bear Lake (Manistee),Lake,2010,Chlorophyll-a,8.135170909311515,7.1245292452781355,7.686593039436067,23,simulated
Bear Lake (Manistee),Lake,2011,Chlorophyll-a,8.872197197338156,6.890029042169489,7.699996711490809,27,simulated
Bear Lake (Manistee),Lake,2012,Chlorophyll-a,7.920341549148399,6.7544072981199506,7.626958599670487,27,simulated
Bear Lake (Manistee),Lake,2013,Chlorophyll-a,8.849422462289024,7.584364643965018,8.129150863420637,27,simulated
Bear Lake (Manistee),Lake,2014,Chlorophyll-a,8.787597528708584,7.200054256942596,7.922358723715278,29,simulated
Bear Lake (Manistee),Lake,2015,Chlorophyll-a,8.27858051572021,7.502211655602286,7.521496498053749,25,simulated
Bear Lake (Manistee),Lake,2016,Chlorophyll-a,8.531524342186986,7.42260333850287,7.932693550524053,27,simulated
Bear Lake (Manistee),Lake,2017,Chlorophyll-a,8.514019717507951,7.160346028509726,7.832335509415439,25,simulated
Bear Lake (Manistee),Lake,2018,Chlorophyll-a,8.77418960166943,7.658761497926647,8.131018241153528,27,simulated
Bear Lake (Manistee),Lake,2019,Chlorophyll-a,8.497719405068251,6.802708358831371,7.894447024032168,26,simulated
Bear Lake (Manistee),Lake,2020,Chlorophyll-a,8.991056571435074,7.6261309308015255,8.052956617202332,27,simulated
Bear Lake (Manistee),Lake,2021,Chlorophyll-a,9.045985987751497,7.5419846903732815,8.202943023719406,29,simulated
Bear Lake (Manistee),Lake,2022,Chlorophyll-a,8.920500803384314,7.507845860884316,8.309474661916008,25,simulated
Bear Lake (Manistee),Lake,2023,Chlorophyll-a,8.93691392031977,6.931473747371874,7.994492963501544,34,simulated
Bear Lake (Manistee),Lake,2024,Chlorophyll-a,9.019224403196908,7.756227494111116,8.188956858240795,25,simulated
Bear Lake (Manistee),Lake,2025,Chlorophyll-a,9.156033665098427,7.1803752980891895,8.208242719088782,24,simulated
Bear Lake (Manistee),Lake,2000,Chloride,8.36028434206617,5.636831067628939,7.153493147144626,17,simulated
Bear Lake (Manistee),Lake,2001,Chloride,8.36766014820166,5.584425401520592,7.172689168861017,20,simulated
