Site,Parameter,SampleDate,Value
Big Glen Lake,Chlorophyll-a,1993-04-27,2.8
Big Glen Lake,Chlorophyll-a,1993-06-10,4.4
Big Glen Lake,Chlorophyll-a,1993-07-21,1.4
Big Glen Lake,Chlorophyll-a,1993-09-16,2.5
Big Glen Lake,Chlorophyll-a,1993-11-09,3.3
Big Glen Lake,Chlorophyll-a,1994-03-02,1.6
Big Glen Lake,Chlorophyll-a,1994-04-30,4.0
Big Glen Lake,Chlorophyll-a,1994-06-21,1.8
Big Glen Lake,Chlorophyll-a,1994-07-21,1.9
Big Glen Lake,Chlorophyll-a,1994-08-17,1.3
Big Glen Lake,Chlorophyll-a,1994-09-30,2.0
Big Glen Lake,Chlorophyll-a,1995-04-20,5.0
Big Glen Lake,Chlorophyll-a,1995-06-19,2.0
Big Glen Lake,Chlorophyll-a,1995-07-11,0.8
Big Glen Lake,Chlorophyll-a,1995-10-03,2.6
Big Glen Lake,Chlorophyll-a,1996-05-25,2.2
Big Glen Lake,Chlorophyll-a,1996-07-17,0.8
Big Glen Lake,Chlorophyll-a,1996-09-19,1.5
Big Glen Lake,Chlorophyll-a,1996-11-21,2.0
Big Glen Lake,Chlorophyll-a,1997-04-24,2.9
Big Glen Lake,Chlorophyll-a,1997-06-29,1.6
Big Glen Lake,Chlorophyll-a,1997-07-23,0.8
Big Glen Lake,Chlorophyll-a,1997-08-13,1.3
Big Glen Lake,Chlorophyll-a,1998-04-20,1.5
Big Glen Lake,Chlorophyll-a,1998-08-12,0.5
Big Glen Lake,Chlorophyll-a,1998-11-09,2.1
Big Glen Lake,Chlorophyll-a,1999-04-13,2.2
Big Glen Lake,Chlorophyll-a,1999-06-17,1.7
Big Glen Lake,Chlorophyll-a,1999-09-21,1.5
Big Glen Lake,Chlorophyll-a,2000-04-26,2.7
Big Glen Lake,Chlorophyll-a,2000-06-23,1.7
Big Glen Lake,Chlorophyll-a,2000-07-26,0.7
Big Glen Lake,Chlorophyll-a,2000-08-14,0.7
Big Glen Lake,Chlorophyll-a,2000-09-25,1.7
Big Glen Lake,Chlorophyll-a,2000-10-19,2.5
Big Glen Lake,Chlorophyll-a,2001-05-31,2.9
Big Glen Lake,Chlorophyll-a,2001-07-09,0.6
Big Glen Lake,Chlorophyll-a,2001-08-07,0.9
Big Glen Lake,Chlorophyll-a,2001-09-27,2.6
Big Glen Lake,Chlorophyll-a,2001-10-24,2.7
Big Glen Lake,Chlorophyll-a,2001-11-06,3.1
Big Glen Lake,Chlorophyll-a,2002-04-23,2.5
Big Glen Lake,Chlorophyll-a,2002-05-21,3.7
Big Glen Lake,Chlorophyll-a,2002-06-18,1.7
Big Glen Lake,Chlorophyll-a,2002-07-15,0.8
Big Glen Lake,Chlorophyll-a,2002-08-21,1.2
Big Glen Lake,Chlorophyll-a,2002-09-17,1.1
Big Glen Lake,Chlorophyll-a,2002-10-16,2.7
Big Glen Lake,Chlorophyll-a,2003-04-23,1.1
Big Glen Lake,Chlorophyll-a,2003-05-14,2.0
Big Glen Lake,Chlorophyll-a,2003-06-16,1.0
Big Glen Lake,Chlorophyll-a,2003-08-13,0.5
Big Glen Lake,Chlorophyll-a,2003-09-11,0.9
Big Glen Lake,Chlorophyll-a,2004-06-03,1.5
Big Glen Lake,Chlorophyll-a,2004-07-20,0.5
Big Glen Lake,Chlorophyll-a,2004-08-16,0.5
Big Glen Lake,Chlorophyll-a,2004-09-21,1.6
