Site,Parameter,SampleDate,Value
Platte Lake (Big Platte),Chlorophyll-a,1990-04-18,1.5
Platte Lake (Big Platte),Chlorophyll-a,1990-05-16,2.2
Platte Lake (Big Platte),Chlorophyll-a,1990-05-30,1.2
Platte Lake (Big Platte),Chlorophyll-a,1990-06-14,4.9
Platte Lake (Big Platte),Chlorophyll-a,1990-06-27,1.4
Platte Lake (Big Platte),Chlorophyll-a,1990-07-11,1.7
Platte Lake (Big Platte),Chlorophyll-a,1990-07-25,2.3
Platte Lake (Big Platte),Chlorophyll-a,1990-08-08,1.2
Platte Lake (Big Platte),Chlorophyll-a,1990-08-24,2.1
Platte Lake (Big Platte),Chlorophyll-a,1990-09-05,4
Platte Lake (Big Platte),Chlorophyll-a,1990-09-12,1.5
Platte Lake (Big Platte),Chlorophyll-a,1990-10-05,2.6
Platte Lake (Big Platte),Chlorophyll-a,1990-10-17,2.5
Platte Lake (Big Platte),Chlorophyll-a,1990-10-31,4.5
Platte Lake (Big Platte),Chlorophyll-a,1990-11-16,4.4
Platte Lake (Big Platte),Chlorophyll-a,1990-12-05,5.2
Platte Lake (Big Platte),Chlorophyll-a,1991-01-09,3.3
Platte Lake (Big Platte),Chlorophyll-a,1991-02-01,3.5
Platte Lake (Big Platte),Chlorophyll-a,1991-02-19,1.4
Platte Lake (Big Platte),Chlorophyll-a,1991-03-05,3.8
Platte Lake (Big Platte),Chlorophyll-a,1991-03-19,1.8
Platte Lake (Big Platte),Chlorophyll-a,1991-04-09,2.3
Platte Lake (Big Platte),Chlorophyll-a,1991-04-16,0.8
Platte Lake (Big Platte),Chlorophyll-a,1991-05-03,1.6
Platte Lake (Big Platte),Chlorophyll-a,1991-05-14,2.1
Platte Lake (Big Platte),Chlorophyll-a,1991-06-11,3.9
Platte Lake (Big Platte),Chlorophyll-a,1991-06-25,1
Platte Lake (Big Platte),Chlorophyll-a,1991-07-09,1
Platte Lake (Big Platte),Chlorophyll-a,1991-07-23,1.5
Platte Lake (Big Platte),Chlorophyll-a,1991-08-06,2.1
Platte Lake (Big Platte),Chlorophyll-a,1991-08-20,2.3
Platte Lake (Big Platte),Chlorophyll-a,1991-09-03,4
Platte Lake (Big Platte),Chlorophyll-a,1991-09-17,5.8
Platte Lake (Big Platte),Chlorophyll-a,1991-10-01,2.4
Platte Lake (Big Platte),Chlorophyll-a,1991-10-15,3.2
Platte Lake (Big Platte),Chlorophyll-a,1991-11-05,3.8
Platte Lake (Big Platte),Chlorophyll-a,1991-11-19,2.3
Platte Lake (Big Platte),Chlorophyll-a,1991-12-10,1.7
Platte Lake (Big Platte),Chlorophyll-a,1992-01-17,3.2
Platte Lake (Big Platte),Chlorophyll-a,1992-01-28,3.1
Platte Lake (Big Platte),Chlorophyll-a,1992-02-18,2.3
Platte Lake (Big Platte),Chlorophyll-a,1992-03-13,2.1
Platte Lake (Big Platte),Chlorophyll-a,1992-05-12,3.7
Platte Lake (Big Platte),Chlorophyll-a,1992-05-26,1.8
Platte Lake (Big Platte),Chlorophyll-a,1992-06-09,1.7
Platte Lake (Big Platte),Chlorophyll-a,1992-06-19,4.7
Platte Lake (Big Platte),Chlorophyll-a,1992-06-30,2.2
Platte Lake (Big Platte),Chlorophyll-a,1992-07-21,1.9
Platte Lake (Big Platte),Chlorophyll-a,1992-08-18,1.5
Platte Lake (Big Platte),Chlorophyll-a,1992-09-01,1.3
Platte Lake (Big Platte),Chlorophyll-a,1992-09-09,2
Platte Lake (Big Platte),Chlorophyll-a,1992-09-15,1.4
Platte Lake (Big Platte),Chlorophyll-a,1992-09-22,1.5
Platte Lake (Big Platte),Chlorophyll-a,1992-09-29,2.1
Platte Lake (Big Platte),Chlorophyll-a,1992-10-06,1.6
Platte Lake (Big Platte),Chlorophyll-a,1992-10-13,1.7
Platte Lake (Big Platte),Chlorophyll-a,1992-10-21,2.5
Platte Lake (Big Platte),Chlorophyll-a,1992-10-27,3.1
Platte Lake (Big Platte),Chlorophyll-a,1992-11-04,4.5
Platte Lake (Big Platte),Chlorophyll-a,1992-11-12,4.2
Platte Lake (Big Platte),Chlorophyll-a,1992-11-18,3.4
Platte Lake (Big Platte),Chlorophyll-a,1992-11-24,3.4
Platte Lake (Big Platte),Chlorophyll-a,1992-12-01,4.1
Platte Lake (Big Platte),Chlorophyll-a,1992-12-08,2.9
Platte Lake (Big Platte),Chlorophyll-a,1992-12-15,2.6
Platte Lake (Big Platte),Chlorophyll-a,1992-12-22,2.4
