SampleDate,TotalPhosphorus_ugL
2020-02-27,5.074
2020-03-27,5.63
2020-04-07,7.165
2020-04-24,7.411
2020-05-15,6.59
2020-05-29,6.749
2020-06-12,7.621
2020-06-26,7.655
2020-07-10,8.89
2020-07-24,6.835
2020-08-07,8.439
2020-09-15,8.025
2020-09-29,7.83
2020-10-14,9.133
2020-11-03,10.876
2020-11-19,7.811
2020-12-04,7.2
2021-02-04,6.882
2021-02-24,6.933
2021-03-09,6.889
2021-04-07,7.861
2021-04-19,8.641
2021-05-05,7.145
2021-05-26,5.934
2021-06-08,6.757
2021-06-28,8.064
2021-07-15,9.541
2021-08-16,6.813
2021-08-31,8.178
2021-09-22,9.173
2021-10-05,9.143
2021-10-25,8.513
2021-11-10,8.778
2021-11-30,9.361
2022-01-21,6.447
2022-02-02,7.592
2022-02-18,7.208
2022-03-09,7.096
2022-04-29,8.514
2022-05-11,8.408
2022-05-27,9.634
2022-06-14,8.721
2022-06-28,7.987
2022-07-12,8.566
2022-07-29,7.551
2022-08-12,6.009
2022-08-26,6.683
2022-09-15,7.972
2022-09-30,7.431
2022-10-14,8.508
2022-11-04,8.623
2022-11-29,8.102
2023-04-07,6.049
2023-04-26,6.538
2023-05-10,7.609
2023-05-31,5.314
2023-06-13,8.502
2023-06-30,7.652
2023-07-14,8.62
2023-07-28,7.183
2023-08-15,7.299
2023-08-30,8.114
2023-09-15,7.447
2023-11-07,6.829
2023-11-22,5.863
2023-12-06,7.068
2023-12-20,7.699
2024-03-14,4.943
2024-03-29,5.978
2024-04-10,7.039
2024-04-23,7.522
2024-05-17,6.59
2024-06-12,9.214
2024-06-26,8.935
2024-07-11,6.311
2024-07-25,6.113
2024-08-15,6.799
2024-08-28,7.309
2024-09-12,7.179
2024-09-27,7.58
2024-10-14,8.131
2024-10-31,7.637
2024-11-20,7.388
2024-12-11,6.949
2025-01-31,4.76
2025-04-09,7.733
2025-04-23,8.887
2025-05-09,7.175
2025-05-23,7.911
2025-06-06,7.141
2025-06-27,9.607
2025-07-18,7.761
2025-07-31,7.181
2025-08-15,6.533
2025-08-29,8.158
2025-09-12,10.344
2025-09-30,9.262
2025-10-16,7.975
2025-11-12,8.846
